,pitcher,mean_fb_velo,mean_fb_spin,release_speed,release_spin_rate,corr_pitch_fb_release_speed,corr_pitch_fb_release_spin_rate,corr_pitch_sec_release_speed,corr_pitch_sec_release_spin_rate,corr_at_bat_fb_release_speed,corr_at_bat_fb_release_spin_rate,corr_at_bat_sec_release_speed,corr_at_bat_sec_release_spin_rate,fb_release_speed_threshold_drop,player_name,fb_release_spin_rate_threshold_drop,sec_release_speed_threshold_drop,sec_release_spin_rate_threshold_drop,role_key
998,673858,92.80937499999999,1718.90625,80.91333333333334,2254.866666666667,-0.18590054329573177,-0.14713054869297615,-0.3531266329679777,0.08048103731796247,-0.1284943925407543,-0.03392998072218825,-0.44954194248288415,-0.2902382565877971,51.0,"Wong, Jake",51.0,48.0,29.0,RP
999,674003,90.37401129943504,2121.5047080979284,82.10629629629629,1900.9037037037037,0.24841254050445025,-0.03048984192909974,0.1871840331074347,0.06712841020069393,-0.349551810886245,0.09928914794728087,-0.21086761284941713,0.19654946170278742,39.45,"Bradford, Cody",36.3,35.45,28.1,RP
1000,674072,91.01548154815481,2159.13501350135,79.56084656084656,2341.6133333333332,0.30546975091663015,0.15597982519412903,0.3797400287200525,0.1346336577962615,-0.048091301669262676,-0.10130122439844264,0.04026388270232282,0.029846070885900702,64.23076923076923,"Henry, Tommy",60.84615384615385,52.68,48.16,SP
1001,674285,93.52,2176.0666666666666,93.06776859504133,2081.9173553719006,-0.2331894146042989,-0.2805425593839011,0.12094302856533153,0.1617256778560798,-0.10000859413638802,-0.015879771603255727,-0.0014364390497907035,0.08172334850072137,23.666666666666668,"Salazar, Eduardo",27.666666666666668,11.0,13.375,RP
1002,674370,94.72129277566542,2385.3269961977185,84.45602409638555,2158.1746987951806,0.0016780931462240926,-0.05349736660192241,-0.15446632443376263,0.06692219257912486,-0.39211425978418213,-0.0569104583946641,-0.16420438919184224,-0.1893198795088258,41.8125,"Bido, Osvaldo",39.0,39.375,42.3125,SP
1003,674444,97.70467289719626,2174.8691588785045,89.40454545454546,2160.848484848485,-0.03193807621401762,-0.055710457059919644,0.09306042133400323,0.1159688401057041,-0.47593532798671706,-0.5901288308307966,-0.5014127237056025,-0.23657702259137145,16.4,"Cruz, Steven",15.5,21.3,17.3,RP
1004,674681,88.99449541284405,2370.3119266055046,82.75531914893617,1668.7021276595744,0.0300515183884401,0.055077722996644,0.15757669529331395,0.19066616453869548,-0.7247636779809251,-0.3159367482126634,-0.8475033529944617,-0.4357824748843228,56.666666666666664,"Plassmeyer, Michael",54.333333333333336,51.666666666666664,47.333333333333336,RP
1005,674944,93.01560975609756,2232.5463414634146,82.47723577235773,2421.0650406504064,0.02313815348816491,-0.10827747096473986,0.24229245361313562,0.10734448247902183,-0.25659757471855765,-0.11091160465847409,0.03865783539788581,-0.0640321668356847,17.23076923076923,"Guenther, Sean",17.846153846153847,18.928571428571427,19.214285714285715,RP
1006,675540,92.47451219512196,2116.0524390243904,85.07282051282051,2432.083760683761,0.22346007410839894,0.04182470484709796,-0.13915089433380956,0.24391310727917484,-0.2579355665333931,0.310402540218429,-0.11087821098740216,0.16943919680359482,24.232558139534884,"Curry, Xzavion",19.558139534883722,27.11627906976744,23.813953488372093,RP
1007,675627,94.61234939759036,2208.246987951807,85.43946869070209,2310.8292220113854,0.13336973206065658,0.007218918702656205,0.11421306462969483,0.073047495589861,-0.15748239393069105,-0.14742165989348321,-0.1429172728099077,-0.11795245187795309,46.08,"Grove, Michael",48.52,45.2,43.56,SP
1008,675911,97.66633136094673,2353.350310926858,85.8599175985874,2360.1824602707475,0.21507199779202568,0.04648365997422931,0.12466792637047824,0.03249284286732462,-0.2562549216321741,0.046624986530966056,-0.1493271746786675,0.09257174845824857,69.52307692307693,"Strider, Spencer",63.84615384615385,62.95384615384615,52.86153846153846,SP
1009,675912,90.7202216066482,2209.6426592797784,83.36694915254236,1875.7966101694915,0.26769723911128984,0.08120660382636756,0.09597648732588832,0.03537608779349818,-0.4273694170321451,0.09458167037176067,-0.28099559221291526,0.0010927919643520653,45.0,"Lowther, Zac",39.0,50.0,37.36363636363637,SP
1010,675916,95.39947678221058,2305.848484848485,82.96791443850267,2334.6338028169016,0.15952939264229643,-0.032304131898552864,0.2130593360792585,0.0029088050284327574,0.022727284216850465,-0.01584411663412941,0.05387707808321809,0.07775700730500436,9.859154929577464,"Karinchak, James",11.21830985915493,11.46043165467626,12.172661870503598,RP
1011,675921,94.34010695187166,2151.8096256684494,84.731875,2189.553125,0.2140774139948715,0.07183221341638105,-0.025409385639273224,0.06955627968581687,-0.44958776161124897,-0.13312036964647694,-0.38284586744459753,-0.31710157689248875,42.8125,"Howard, Spencer",37.21875,36.94736842105263,34.89473684210526,SP
1012,675971,90.28571428571429,2000.0,90.28181818181818,2008.8181818181818,-0.4998317649472048,-0.08641359990907709,0.1820891080100453,0.23995920857929479,0.6016616536056386,0.7242148109654045,-0.2893971659010204,-0.014874710633305657,20.0,"Dohy, Kyle",5.0,2.0,16.0,RP
1013,675989,95.2293172690763,2355.782258064516,83.63129770992367,2745.2265625,0.22443486933958548,0.125705074175647,0.22424280249152018,0.1620068533776737,-0.18511958028376851,0.10292212076948906,-0.18134292775002606,-0.31770189517690767,16.8125,"Bolton, Cody",15.8125,22.3125,21.75,RP
1014,676050,91.98764705882354,2062.698224852071,83.37164750957854,1391.1992337164752,0.18292526727709216,-0.03409555112612978,0.132067569477149,-0.02927953430431819,-0.45685589426509843,0.03331893588634296,-0.47541817827327754,-0.38887877952783473,19.11111111111111,"Naughton, Packy",18.305555555555557,17.485714285714284,18.2,RP
1015,676051,95.85415959252971,2365.8115449915113,87.3440329218107,2078.8024691358023,-0.024999942478630587,-0.0630584389571319,0.04447976953794722,-0.03316109759233268,-0.05852278541819225,-0.06673820746525891,0.041691921612021815,-0.01973028805636636,12.015384615384615,"Heuer, Codi",11.353846153846154,12.137931034482758,12.655172413793103,RP
1016,676083,92.53095238095237,2345.6827309236946,80.46263736263737,2448.1098901098903,0.2003959155893975,0.1802587181013218,0.24479420918352998,-0.012519132423110438,-0.35284202932552233,-0.20954574122477737,-0.41780696400143347,0.027984526308139468,38.55555555555556,"Junk, Janson",39.44444444444444,35.57142857142857,38.714285714285715,SP
1017,676092,94.82820512820513,2487.923076923077,95.91962174940899,2442.0023696682465,-0.022160197281802598,0.2151040407958037,-0.0981684618887259,0.10772534329714342,-0.20459378235654044,0.09205839197326166,-0.19568543967091057,0.10515087791207202,15.857142857142858,"Snider, Collin",15.857142857142858,11.4,10.983333333333333,RP
1018,676103,93.01333333333335,2229.945945945946,81.16,2714.925,-0.047196887107495505,0.08185301023591984,0.3374188692636074,0.16606369884722083,-0.29643843798811964,0.02968042713513271,-0.3012754054651634,-0.057758774168430525,16.4,"Jones, Damon",13.8,9.2,15.8,RP
1019,676106,92.5088888888889,2343.222222222222,86.70576923076922,2180.5,0.15439117108386416,0.15737452247808878,0.19640176491898587,0.10596985186263756,-0.5351744808954505,-0.13626212251269318,-0.3531279811498223,-0.1099634761891497,60.0,"Hancock, Emerson",52.333333333333336,51.333333333333336,29.333333333333332,SP
1020,676130,93.91702127659575,2376.0874704491725,85.42918918918919,1711.6702702702703,0.14821287494415022,-0.08104455272863723,0.3140696389905199,-0.054430049535002176,-0.2505636949667031,-0.009618269284126154,0.017390336463460797,0.03833442901688468,71.3,"Butto, José",58.6,42.4,54.9,SP
1021,676194,94.55639810426541,2017.9289099526065,86.55,1993.5862068965516,0.09757300264699416,-0.06642030074546926,0.15524185791701145,-0.02267582457413394,-0.39963347022190976,-0.051471262022611076,-0.3936964803757747,-0.04994918423947439,79.0,"Tetreault, Jackson",78.75,65.25,59.5,SP
1022,676206,95.25816993464052,2460.1176470588234,86.34729729729729,2316.7162162162163,0.06426057718713259,-0.17922601255910958,-0.021950110926766325,0.06658641875644127,-0.6268281396214114,-0.1680776868834357,-0.2360384721607907,0.006447079579694671,38.333333333333336,"Tarnok, Freddy",38.666666666666664,43.8,35.8,RP
1023,676265,91.9318418314256,2289.2221063607926,84.59769230769231,2340.872586872587,0.06042332830066136,-0.0040484988207291055,0.07772080173485728,-0.07742596085256893,-0.44417352914236335,-0.3382372219595197,-0.1780273533821187,-0.04048564352378708,35.15555555555556,"Abbott, Cory",31.844444444444445,31.13888888888889,26.416666666666668,RP
1024,676272,99.05827338129497,2341.838129496403,98.7467700258398,2297.2403100775196,0.19667735943688047,-0.09345861117764687,0.20824948379587302,-0.027915931553838428,-0.27783674628722516,-0.3339456634186672,-0.36730741340650086,-0.2149306903759421,59.476190476190474,"Miller, Bobby",62.333333333333336,67.95454545454545,70.63636363636364,SP
1025,676395,94.33031496062992,2219.303149606299,88.1281690140845,1702.9716312056737,0.3325680652849195,0.05528656203892181,0.5149462194090902,0.19604107250079617,-0.03858948953227459,0.10397232809132961,0.002961793407167686,0.08963950309237143,11.84,"Garcia, Robert",11.84,14.958333333333334,17.583333333333332,RP
1026,676424,91.47007874015748,2106.0787401574803,74.83823529411765,2342.529411764706,0.18643010622918024,-0.04365205995780066,0.31280569198952907,0.03156001570718394,-0.19756062768963895,0.04449175581112258,0.36621750525697866,0.33208078992435497,38.5,"Bettinger, Alec",33.25,25.75,37.5,RP
1027,676440,94.90155251141553,2300.9990850869167,84.70747217806041,2793.608280254777,0.3196524672060278,0.017147762355770903,0.217450319725861,0.054739824130798795,-0.15594793342914562,0.021861916493515047,-0.05641435824724074,-0.05049733405121976,73.56,"Bibee, Tanner",64.68,55.88,63.0,SP
1028,676477,95.92400000000002,2119.2533333333336,95.0438341968912,2109.1313183949974,0.21762886554765828,-0.04501338038269425,0.2499418710053635,0.09355064376855075,-0.4066134442614865,-0.1731021332626911,-0.48488973412926833,-0.13216203683158098,25.625,"Whitlock, Garrett",25.175,25.0,23.448979591836736,RP
